Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.576960e-03,0.02,0.1
1.577040e-03,0.02,0.02
1.577120e-03,0.06,0.06
1.577200e-03,0.02,0.02
1.577280e-03,0.02,0.06
1.577360e-03,0.06,0.02
1.577440e-03,0.02,0.06
1.577520e-03,0.02,0.02
1.577600e-03,0.06,0.06
1.577680e-03,0.06,0.02
1.577760e-03,0.06,0.06
1.577840e-03,0.06,0.02
1.577920e-03,0.06,0.06
1.578000e-03,0.02,0.02
1.578080e-03,0.06,0.1
1.578160e-03,0.02,0.02
1.578240e-03,0.06,0.06
1.578320e-03,0.06,0.02
1.578400e-03,0.06,0.06
1.578480e-03,0.02,0.02
1.578560e-03,0.06,0.06
1.578640e-03,0.02,0.02
1.578720e-03,0.02,0.06
1.578800e-03,0.06,0.02
1.578880e-03,0.02,0.06
1.578960e-03,0.06,0.02
1.579040e-03,0.06,0.06
1.579120e-03,0.06,0.02
1.579200e-03,0.06,0.06
1.579280e-03,0.06,0.02
1.579360e-03,0.06,0.06
1.579440e-03,0.06,0.02
1.579520e-03,0.02,0.06
1.579600e-03,0.06,0.02
1.579680e-03,0.06,0.06
1.579760e-03,0.06,0.02
1.579840e-03,0.02,0.1
1.579920e-03,0.06,0.02
1.580000e-03,0.06,0.06
1.580080e-03,0.06,0.02
1.580160e-03,0.06,0.06
1.580240e-03,0.06,0.02
1.580320e-03,0.06,0.06
1.580400e-03,0.06,0.02
1.580480e-03,0.06,0.06
1.580560e-03,0.02,0.02
1.580640e-03,0.02,0.06
1.580720e-03,0.02,0.02
1.580800e-03,0.02,0.06
1.580880e-03,0.02,0.02
1.580960e-03,0.02,0.1
1.581040e-03,0.02,0.02
1.581120e-03,0.06,0.06
1.581200e-03,0.06,0.02
1.581280e-03,0.06,0.06
1.581360e-03,0.06,0.02
1.581440e-03,0.06,0.06
1.581520e-03,0.06,0.02
1.581600e-03,0.06,0.06
1.581680e-03,0.02,0.02
1.581760e-03,0.06,0.1
1.581840e-03,0.06,0.02
1.581920e-03,0.06,0.06
1.582000e-03,0.06,0.02
1.582080e-03,0.06,0.06
1.582160e-03,0.06,0.02
1.582240e-03,0.06,0.06
1.582320e-03,0.06,0.02
1.582400e-03,0.02,0.06
1.582480e-03,0.02,0.02
1.582560e-03,0.06,0.06
1.582640e-03,0.02,0.02
1.582720e-03,0.06,0.06
1.582800e-03,0.02,0.02
1.582880e-03,0.06,0.06
1.582960e-03,0.06,0.02
1.583040e-03,0.06,0.06
1.583120e-03,0.06,0.02
1.583200e-03,0.06,0.06
1.583280e-03,0.06,0.02
1.583360e-03,0.06,0.1
1.583440e-03,0.02,0.02
1.583520e-03,0.06,0.1
1.583600e-03,0.06,0.02
1.583680e-03,0.06,0.1
1.583760e-03,0.06,0.02
